,Dutch (nl),Positive,Negative
7512,minnaar,1,0
7513,liefhebbend,1,0
7514,lager,0,1
7515,neerlaten,0,1
7516,laagste,0,1
7517,Lowlands,0,1
7518,nederig,0,1
7519,loyaal,1,0
7520,loyaliteit,1,0
7521,smeren,0,0
7522,het smeren,0,0
7523,geluk,1,0
7524,Lucky,1,0
7525,belachelijk,0,1
7526,uitsteeksel,0,0
7527,bagage,0,0
7528,wiegen,0,0
7529,slaapliedje,0,0
7530,lumbaal,0,0
7531,timmerhout,0,0
7532,voortsjokkend,0,1
7533,luminescent,0,0
7534,lichtgevend,0,0
7535,brok,0,1
7536,klonterige,0,1
7537,krankzinnigheid,0,1
7538,maan-,0,0
7539,gek,0,1
7540,lunch,0,0
7541,lunch,0,0
7542,longe,0,0
7543,longen,0,0
7544,slingeren,0,1
7545,lokken,0,1
7546,luguber,0,1
7547,op de loer liggen,0,1
7548,loer,0,1
7549,heerlijk,1,0
7550,weelderig,0,1
7551,lust,0,1
7552,glans,1,0
7553,wellustig,0,1
7554,glanzend,1,0
7555,wellustig,0,0
7556,luit,0,0
7557,weelderig,1,0
7558,luxueus,1,0
7559,luxe,1,0
7560,aan het liegen,0,1
7561,weefselvocht,0,0
7562,lymfatische,0,0
7563,lynchen,0,1
7564,lynx,0,0
7565,lier,1,0
7566,lyrisch,0,0
7567,lyrisch,1,0
7568,foelie,0,1
7569,machine,0,0
7570,machinerie,0,0
7571,machinist,0,0
7572,makreel,0,0
7573,boos,0,1
7574,mevrouw,0,0
7575,mevrouw,0,0
7576,gek maken,0,1
7577,gek,0,1
7578,krankzinnigheid,0,1
7579,maffia,0,1
7580,tijdschrift,0,0
7581,tovenaar,0,0
7582,magenta,0,0
7583,made,0,1
7584,magie,0,0
7585,magisch,1,0
7586,goochelaar,0,0
7587,magistraat,0,0
7588,magma,0,0
7589,magnaat,0,0
7590,magneet,1,0
7591,magnetisme,1,0
7592,magnetiet,1,0
7593,pracht,1,0
7594,prachtig,1,0
7595,vergrootglas,0,0
7596,vergroten,0,0
7597,omvang,0,0
7598,ekster,0,0
7599,hulp in de huishouding,0,0
7600,meisje,1,0
7601,mail,0,0
7602,hoofd,1,0
7603,vasteland,0,0
7604,steunpilaar,1,0
7605,onderhoud,0,0
7606,majestueus,1,0
7607,majesteit,1,0
7608,groot,1,0
7609,meerderheid,1,0
7610,maken,0,0
7611,maker,0,0
7612,noodoplossing,0,1
7613,bedenken,0,0
7614,ziekte,0,1
7615,malaise,0,1
7616,malaria-,0,1
7617,mannetje,0,0
7618,kwaadwillig,0,1
7619,misdadiger,0,1
7620,misvorming,0,1
7621,kwaadaardigheid,0,1
7622,kwaadaardig,0,1
7623,kwaadaardig,0,1
7624,kwaadaardigheid,0,1
7625,kwaadaardig,0,1
7626,winkelcentrum,0,0
7627,smeedbaar,0,0
7628,houten hamer,0,0
7629,wangedrag,0,1
7630,NO TRANSLATION,0,0
7631,zoogdier,0,0
7632,mammoet-,0,0
7633,man,0,0
7634,beheren,1,0
7635,beheer,1,0
7636,manager,0,0
7637,mandamus,0,1
7638,mandarijn-,1,0
7639,mandaat,0,0
7640,kaak,0,0
7641,mandoline,0,0
7642,spil,0,0
7643,NO TRANSLATION,0,0
7644,manoeuvreren,0,0
7645,manoeuvreren,0,0
7646,NO TRANSLATION,0,1
7647,kribbe,0,0
7648,mangel,0,1
7649,mango-,0,0
7650,mangisboom,0,0
7651,mannelijkheid,1,0
7652,manie,0,1
7653,maniac,0,1
7654,waanzinnig,0,1
7655,manicuur,0,0
7656,manifesteren,0,0
7657,manifestatie,0,0
7658,gemanifesteerd,1,0
7659,kennelijk,0,0
7660,manifesto,0,0
7661,verdeelstuk,0,0
7662,manipuleren,0,1
7663,manipulatie,0,1
7664,mensheid,0,0
7665,mannelijk,1,0
7666,manna,1,0
7667,manier,0,0
7668,gemanierd,1,0
7669,manieren,1,0
7670,landhuis,0,0
7671,herenhuis,0,0
7672,doodslag,0,1
7673,mantel,0,0
7674,handboek,0,0
7675,vervaardiging,0,0
7676,fabrikant,1,0
7677,mest,0,1
7678,manuscript,0,0
7679,kaart,0,0
7680,bederven,0,1
7681,marmeren,0,0
7682,gemarmerd,0,0
7683,knikkers,0,0
7684,maart,1,0
7685,NO TRANSLATION,0,0
7686,marge,0,1
7687,marginaal,0,0
7688,marihuana,0,0
7689,marinier,0,0
7690,zeeman,0,0
7691,maritiem,0,0
7692,Mark,0,0
7693,gemarkeerd,1,0
7694,markt,0,0
7695,verkoopbaar,1,0
7696,marktplaats,0,0
7697,merken,0,0
7698,mergel,0,0
7699,marmelade,0,0
7700,kastanjebruin,0,1
7701,grote tent,0,0
7702,markies,1,0
7703,huwelijk,1,0
7704,getrouwd,0,0
7705,merg,1,0
7706,trouwen,1,0
7707,moeras,0,0
7708,maarschalk,1,0
7709,markt,0,0
7710,krijgshaftig,0,0
7711,martingaal,0,1
7712,martelaar,0,1
7713,marteldood,0,1
7714,wonder,1,0
7715,wonderbaar,1,0
7716,verbazend,1,0
7717,mannelijk,1,0
7718,mannelijkheid,0,0
7719,beslag,0,0
7720,masker,0,0
7721,masochisme,0,1
7722,metselaar,0,0
7723,maskerade,0,0
7724,massa-,0,0
7725,bloedbad,0,1
7726,massage,1,0
7727,massief,0,0
7728,meester,1,0
7729,brein,0,0
7730,meesterwerk,1,0
7731,meesterschap,1,0
7732,masturberen,0,0
7733,masturbatie,0,0
7734,mat,0,0
7735,bij elkaar passen,0,0
7736,bij elkaar passen,0,0
7737,koppelaarster,0,0
7738,stuurman,1,0
7739,materiaal,0,0
7740,materialisme,0,1
7741,materialist,0,1
7742,materialistisch,0,0
7743,materialiteit,0,0
7744,materialiseren,0,0
7745,wezenlijk,0,0
7746,materialen,0,0
7747,materiel,0,0
7748,moederlijk,1,1
7749,moederschap,0,0
7750,wiskundig,0,0
7751,wiskundige,0,0
7752,wiskunde,0,0
7753,toelatingsexamen,0,0
7754,huwelijk,1,0
7755,Matrix,0,0
7756,matrone,1,0
7757,gemat,0,0
7758,er toe doen,0,0
7759,matwerk,0,0
7760,matras,0,0
7761,rijping,0,0
7762,rijpheid,0,0
7763,mausoleum,0,0
7764,mauve,0,0
7765,Maxim,0,0
7766,maximum,1,0
7767,burgemeester,1,0
7768,doolhof,0,0
7769,mede,0,0
7770,weide,1,0
7771,maaltijd,0,0
7772,slingeren,0,0
7773,meanderende,0,1
7774,betekenis,0,0
7775,zinloos,0,1
7776,middelen,0,0
7777,ondertussen,0,0
7778,mazelen,0,1
7779,meetbaar,0,0
7780,maatregel,0,0
7781,afgemeten,1,0
7782,meting,0,0
7783,meten,0,0
7784,vlees,0,0
7785,monteur,0,0
7786,mechanisch,0,0
7787,mechanisme,0,0
7788,medaille,1,0
7789,medaillon,0,0
7790,medaillewinnaar,0,0
7791,zich bemoeien,0,1
7792,bemoeizucht,0,0
7793,media,0,0
7794,midden-,0,0
7795,mediaan-,0,0
7796,bemiddelen,1,0
7797,bemiddeling,1,0
7798,bemiddelaar,1,0
7799,medisch,1,0
7800,geneeskrachtig,0,0
7801,geneeskunde,0,0
7802,middeleeuws,0,0
7803,middelmatig,0,1
7804,middelmatigheid,0,1
7805,NO TRANSLATION,1,0
7806,meditatie,0,0
7807,meditatieve,0,0
7808,middellandse Zee,1,0
7809,medium,0,0
7810,mengeling,1,0
7811,zachtmoedig,0,0
7812,ontmoeten,0,0
7813,vergadering,0,0
7814,melancholicus,0,1
7815,weemoed,0,1
7816,melee,0,1
7817,melodieus,0,0
7818,melodrama,0,1
7819,melodramatisch,0,0
7820,melodie,0,0
7821,smelten,0,0
7822,kernsmelting,0,1
7823,smeltend,0,0
7824,lid,0,0
7825,membraan,0,0
7826,aandenken,1,0
7827,memo,0,0
7828,gedenkschrift,0,0
7829,memorabilia,0,0
7830,gedenkwaardig,1,0
7831,memorandum,0,0
7832,gedenkteken,0,0
7833,gedenktekens,0,0
7834,memoriseren,0,0
7835,geheugen,0,0
7836,bedreiging,0,1
7837,dreigend,0,1
7838,menagerie,0,0
7839,beteren,0,0
7840,verstelwerk,1,0
7841,huurling,0,1
7842,meniscus,0,0
7843,menstruatie,1,0
7844,menstruatie-,0,0
7845,geestelijk,0,0
7846,noemen,0,0
7847,mentor,1,0
7848,menu,0,0
7849,mauw,0,0
7850,handels-,0,0
7851,huurling,0,1
7852,handelswaar,0,0
7853,handelaar,0,0
7854,barmhartig,1,0
7855,meedogenloos,0,1
7856,kwikmiddel,0,0
7857,genade,1,0
7858,louter,0,0
7859,samensmelten,1,0
7860,meridiaan,0,0
7861,zuidelijk,0,0
7862,verdienste,1,0
7863,verdienstelijk,1,0
7864,meermin,0,0
7865,vreugde,1,0
7866,vrolijk,1,0
7867,mesa,0,0
7868,maas,0,0
7869,mazen,0,0
7870,gebiologeerd,0,0
7871,knoeien,0,1
7872,bericht,0,0
7873,boodschapper,0,0
7874,rommelig,0,1
7875,metabolisme,0,0
7876,metaal,0,0
7877,metallurgie,0,0
7878,metamorfose,0,0
7879,metafoor,0,0
7880,figuurlijk,0,0
7881,metafysisch,0,0
7882,metafysica,0,0
7883,metastasis,0,1
7884,meteoor,0,0
7885,bliksemsnel,0,0
7886,meteoriet,0,0
7887,meteorologisch,0,0
7888,meteorologie,0,0
7889,meter,0,0
7890,methanol,0,1
7891,methode,0,0
7892,methodisch,0,0
7893,nauwkeurig,0,0
7894,metriek,0,0
7895,metrisch,0,0
7896,metrologie,0,0
7897,metropolis,0,0
7898,metropolitaans,1,0
7899,moed,1,0
7900,miauwen,0,0
7901,mica-,0,0
7902,mick,0,0
7903,microbe,0,0
7904,microbiologie,0,0
7905,microkosmos,0,0
7906,microgram,0,0
7907,micrometer,0,0
7908,micron,0,0
7909,microfoon,0,0
7910,microscoop,0,0
7911,microscopisch,0,0
7912,microscopisch,0,0
7913,microscopie,1,0
7914,midden,0,0
7915,middag,0,0
7916,midden-,0,0
7917,tussenpersoon,0,0
7918,binnenland,0,0
7919,middernacht,0,0
7920,midden,0,0
7921,midzomer,0,0
7922,halverwege,0,0
7923,verloskundige,1,1
7924,verloskunde,1,0
7925,NO TRANSLATION,0,0
7926,machtig,1,0
7927,trekken,0,0
7928,migratie,0,0
7929,migrerend,0,0
7930,Mike,0,0
7931,meeldauw,0,1
7932,mijl,0,0
7933,kilometerstand,0,0
7934,mijlpaal,0,0
7935,strijdbaar,0,0
7936,leger,0,0
7937,militie,0,1
7938,melk,0,0
7939,melkachtig,0,0
7940,molen,0,0
7941,millennium,0,0
7942,milligram,0,0
7943,millimeter,0,0
7944,miljoen,0,0
7945,miljonair,0,0
7946,nabootsen,1,0
7947,nabootsen,0,0
7948,nabootsen,0,0
7949,mimicry,0,1
7950,geest,0,0
7951,gezind,0,0
7952,indachtig,1,0
7953,mindfulness,1,0
7954,de mijne,0,0
7955,mijnwerker,0,0
7956,mineraal,0,0
7957,mineralogie,0,0
7958,mengen,0,0
7959,vermengd,0,0
7960,miniatuur,0,0
7961,minibus,0,0
7962,NO TRANSLATION,0,0
7963,verkleinen,0,1
7964,minimum,0,1
7965,minister,0,0
7966,ministerieel,0,0
7967,ministerie,1,0
7968,busje,0,0
7969,voorn,0,0
7970,mineur,0,0
7971,minderheid,0,1
7972,minstreel,0,0
7973,munt,0,0
7974,gering,0,0
7975,minuut,0,0
7976,kleinigheden,0,0
7977,NO TRANSLATION,0,0
7978,wonder,1,0
7979,wonderbaarlijk,1,0
7980,luchtspiegeling,0,0
7981,NO TRANSLATION,0,1
7982,spiegel,0,0
7983,vrolijkheid,1,0
7984,verduistering,0,0
7985,wangedrag,0,1
7986,miskraam,0,1
7987,Diversen,0,0
7988,mengeling,0,0
7989,kattenkwaad,0,1
7990,ondeugend,0,1
7991,misvatting,0,1
7992,wangedrag,0,1
7993,misdrijf,0,0
7994,ellendig,0,1
7995,jammerlijk,0,1
7996,ellende,0,1
7997,tegenslag,0,1
7998,misleid,0,1
7999,ongeluk,0,1
8000,verkeerd geinformeerd,0,0
8001,verkeerde interpretatie,0,1
8002,misleiden,0,1
8003,misleidend,0,1
8004,wanbeheer,0,1
8005,wanverhouding,0,1
8006,mismatched,0,0
8007,verkeerde benaming,0,1
8008,misplaatsen,0,1
8009,misplaatst,0,1
8010,verkeerd voorstellen,0,1
8011,onjuiste voorstelling,0,1
8012,Misrepresented,0,1
8013,missen,0,0
8014,raket,0,0
8015,missend,0,1
8016,missie,0,0
8017,missionaris,1,0
8018,afwijking,0,1
8019,mist,0,0
8020,vergissing,0,1
8021,verkeerd,0,1
8022,meneer,0,0
8023,minnares,0,1
8024,NO TRANSLATION,0,1
8025,nevelig,0,0
8026,verkeerd begrijpen,0,1
8027,misverstand,0,1
8028,misbruik,0,1
8029,mijt,0,1
8030,mijter,0,0
8031,verzachting,0,0
8032,mengen,0,0
8033,gemengd,0,0
8034,mengsel,0,0
8035,kreunen,0,0
8036,slotgracht,0,0
8037,bende,0,1
8038,mobiel,0,0
8039,mobiliteit,0,0
8040,mobilisatie,0,0
8041,mobiliseren,0,0
8042,spot,0,1
8043,spotachtig,0,1
8044,modaal,0,0
8045,modaliteit,0,0
8046,mode,0,0
8047,model-,1,0
8048,modelleur,0,0
8049,matig,1,0
8050,matig,0,0
8051,moderatie,0,0
8052,met mate,0,0
8053,moderator,1,0
8054,modern,0,0
8055,modernisme,0,0
8056,bescheiden,1,0
8057,bescheidenheid,1,0
8058,modicum,0,0
8059,wijzigbaar,0,0
8060,wijziging,0,0
8061,gemodificeerde,0,0
8062,wijzigen,0,0
8063,moduleren,0,0
8064,modulatie,0,0
8065,module,0,0
8066,modulus,0,0
8067,Mogol,0,0
8068,helft,0,0
8069,vochtig,0,0
8070,vochtigheid,0,0
8071,kies,0,0
8072,melasse,0,0
8073,gietvorm,0,0
8074,gegoten,0,0
8075,het gieten,0,0
8076,beschimmeld,0,0
8077,moleculair,0,0
8078,molecuul,0,0
8079,molestering,0,1
8080,gesmolten,0,0
8081,moment,0,0
8082,kortstondig,0,0
8083,gewichtig,0,0
8084,stuwkracht,1,0
8085,monade,0,0
8086,monarch,0,0
8087,monarchie,0,0
8088,klooster,0,0
8089,klooster-,0,0
8090,monetair,1,0
8091,geld,1,0
8092,monnik,1,0
8093,aap,0,0
8094,monochroom,0,1
8095,monogamie,0,0
8096,monogram,0,0
8097,monografie,0,0
8098,monolaag,0,0
8099,monoloog,0,0
8100,monopolist,0,1
8101,Monopoly,0,0
8102,eentonigheid,0,0
8103,moesson,0,1
8104,monster,0,1
8105,wangedrocht,0,1
8106,monte,0,0
8107,maand,0,0
8108,maandelijks,0,0
8109,monument,1,0
8110,monumentaal,0,0
8111,loeien,0,0
8112,stemmingen,0,0
8113,humeurig,0,1
8114,maan,0,0
8115,maanlicht,0,0
8116,afgemeerd,0,0
8117,ligplaats,0,0
8118,ligplaatsen,0,0
8119,heide,0,0
8120,eland,0,0
8121,betwistbaar,0,1
8122,geopperd,0,0
8123,dweilen,0,0
8124,Moreel,1,0
8125,moraliteit,1,0
8126,moraal,1,0
8127,moeras,0,0
8128,moratorium,0,0
8129,morbide,0,1
8130,ziektecijfers,0,1
8131,lijkenhuis,0,1
8132,stervende,0,1
8133,morgen,0,0
8134,ochtend-,0,0
8135,achterlijk persoon,0,1
8136,debiele,0,1
8137,morfine,0,0
8138,morfisme,0,0
8139,morfologie,0,0
8140,volgende dag,0,0
8141,hapje,0,1
8142,sterfelijk,0,1
8143,sterfte,0,1
8144,mortier,1,0
8145,hypotheek,0,0
8146,hypotheekhouder,0,0
8147,hypotheekgever,0,0
8148,versterving,0,1
8149,lijkenhuis,0,1
8150,mozaïek-,0,0
8151,moskee,0,0
8152,mug,0,1
8153,mos,0,0
8154,mossig,0,0
8155,NO TRANSLATION,0,0
8156,mot,0,0
8157,moeder,1,1
8158,moederschap,1,0
8159,beweging,0,0
8160,roerloos,0,0
8161,motief,1,0
8162,bont,0,0
8163,motor,0,0
8164,motorfiets,0,0
8165,motorfiets,0,0
8166,motte,0,0
8167,gevlekt,0,0
8168,motto,0,0
8169,gietvorm,0,0
8170,terp,0,0
8171,berg,0,0
8172,berg-,0,0
8173,bergbeklimmer,0,0
8174,bergachtig,0,0
8175,rouwen,0,1
8176,treurig,0,1
8177,rouw,0,1
8178,muis,0,0
8179,snor,0,0
8180,mond,0,0
8181,mondvol,0,0
8182,mondstuk,0,0
8183,beweegbaar,1,0
8184,verhuizing,0,0
8185,beweging,0,0
8186,verhuizer,1,0
8187,film,0,0
8188,in beweging,0,0
8189,maaien,0,0
8190,mest,0,1
8191,NO TRANSLATION,0,0
8192,slijm,0,0
8193,modder,0,1
8194,warboel,0,1
8195,warrige,0,1
8196,modderig,0,1
8197,mof,0,1
8198,gedempt,0,0
8199,geluiddemper,0,0
8200,mok,1,1
8201,muildier,0,1
8202,multilateraal,0,0
8203,meerdere,0,0
8204,multiplex,0,0
8205,vermenigvuldiging,0,0
8206,veelheid,0,0
8207,vermenigvuldigd,0,0
8208,multiplier,0,0
8209,vermenigvuldigen,0,0
8210,menigte,0,0
8211,mamma,0,1
8212,mompelen,0,1
8213,mummie,0,0
8214,de bof,0,1
8215,munch,0,0
8216,mondain,0,0
8217,gemeentelijk,0,0
8218,gemeente,0,0
8219,muurschildering,0,0
8220,moord,0,1
8221,moordenaar,0,1
8222,moorddadig,0,1
8223,duister,0,1
8224,ruisen,0,0
8225,spier,0,0
8226,gespierd,1,0
8227,muze,0,0
8228,muzen,0,0
8229,museum,0,0
8230,NO TRANSLATION,0,0
8231,paddestoel,0,0
8232,muziek-,1,0
8233,musical,1,0
8234,musicus,0,0
8235,mijmeren,0,0
8236,muskus,0,0
8237,musket,0,0
8238,mousseline,0,0
8239,NO TRANSLATION,0,1
8240,mustang,0,0
8241,mosterd-,0,0
8242,verzamelen,0,0
8243,muf,0,1
8244,veranderlijk,1,0
8245,mutant,0,1
8246,mutatie,0,0
8247,verminkt,0,1
8248,verminking,0,1
8249,muiterij,0,1
8250,NO TRANSLATION,0,1
8251,schaap,0,0
8252,wederzijds,1,0
8253,onderling,0,0
8254,snuit,0,1
8255,bijziendheid,0,1
8256,bijziend,0,0
8257,myriade,0,0
8258,mysterieus,0,0
8259,mysterie,0,0
8260,mysticus,0,0
8261,mystiek,0,0
8262,mystiek,0,0
8263,mythe,0,0
8264,mythische,0,0
8265,mythisch,0,0
8266,mythologisch,0,0
8267,mythologie,0,0
8268,betrappen,0,1
8269,nadir,0,1
8270,NO TRANSLATION,0,1
8271,nagel,0,0
8272,naief,0,1
8273,naakt,0,0
8274,genaamd,0,0
8275,naamloos,0,1
8276,naamgenoot,0,0
8277,naamgeving,0,0
8278,kinderjuffrouw,0,0
8279,nanometer,0,0
8280,dutje,1,0
8281,nek,0,0
8282,servet,0,0
8283,dutten,0,0
8284,luier,0,1
8285,verdovend,0,1
8286,vertellen,0,0
8287,vertelling,0,0
8288,verhaal,0,0
8289,verteller,0,0
8290,smal,0,0
8291,vernauwing,0,0
8292,ontluikend,0,0
8293,smerig,0,1
8294,natal,0,0
8295,natie,0,0
8296,nationaal,0,0
8297,nationaliteit,0,0
8298,inheems,0,0
8299,geboorte,0,0
8300,naturalist,1,0
8301,naturalisatie,0,0
8302,genaturaliseerde,0,0
8303,van nature,0,0
8304,natuur,0,0
8305,niets,0,0
8306,stout,0,1
8307,misselijkheid,0,1
8308,misselijk,0,1
8309,nautische,0,0
8310,marine-,0,0
8311,naaf,0,0
8312,navel,0,0
8313,bevaarbaar,1,0
8314,navigeren,0,0
8315,navigatie,0,0
8316,navigator,0,0
8317,marine,0,0
8318,NO TRANSLATION,0,1
8319,netjes,1,0
8320,nevelvlek,0,0
8321,nevels,0,0
8322,vaag,0,0
8323,nodig,0,0
8324,noodzaken,0,0
8325,benodigdheden,0,0
8326,noodzaak,0,0
8327,nek,0,0
8328,ketting,0,0
8329,necrose,0,0
8330,nectar,1,0
8331,nodig,0,1
8332,naald-,1,0
8333,onnodig,0,0
8334,behoeftig,0,1
8335,schandelijk,0,1
8336,negatie,0,1
8337,negatief,0,1
8338,verwaarlozing,0,1
8339,verwaarloosd,0,1
8340,verwaarlozen,0,1
8341,nalatigheid,0,1
8342,nalatig,0,1
8343,NO TRANSLATION,0,1
8344,te verwaarlozen,0,0
8345,onderhandelen,1,0
8346,onderhandeling,0,0
8347,onderhandelaar,1,0
8348,neger,0,1
8349,hinniken,0,0
8350,buurman,1,0
8351,buurt,0,0
8352,naburig,0,0
8353,neonatale,0,0
8354,nieuweling,0,0
8355,neopreen,0,0
8356,neef,0,0
8357,nepotisme,0,1
8358,zenuw,1,0
8359,nerveus,0,1
8360,nervositeit,0,0
8361,ness,0,0
8362,nest,0,0
8363,nestelen,1,0
8364,nestvogel,0,0
8365,netto-,0,0
8366,onderwereld,0,1
8367,gaas,0,0
8368,brandnetel,0,1
8369,netwerk,0,0
8370,zenuwpijn,0,1
8371,neurologie,0,0
8372,neurose,0,1
8373,neurotisch,0,1
8374,onzijdig,0,0
8375,neutrale,0,0
8376,neutraliteit,0,0
8377,opheffen,0,0
8378,pasgeboren,0,0
8379,nieuweling,0,0
8380,onlangs,0,0
8381,nieuwheid,0,0
8382,nieuws,0,0
8383,krant-,0,0
8384,krantenkiosk,0,0
8385,punt,0,0
8386,knabbelen,0,0
8387,nis,0,0
8388,NO TRANSLATION,0,0
8389,Nick,0,0
8390,nikkel,0,0
8391,bijnaam,0,0
8392,nicotine,0,1
8393,nicht,0,0
8394,neger,0,1
8395,nabij,0,0
8396,nacht,0,0
8397,vallen van de avond,0,0
8398,nachtegaal,0,0
8399,nachtmerrie,0,1
8400,nihilisme,0,1
8401,nul,0,0
8402,lenig,0,0
8403,negentig,0,0
8404,negende,0,0
8405,kneep,0,0
8406,tepel,0,0
8407,nix,0,0
8408,adel,1,0
8409,edele,1,0
8410,edelman,1,0
8411,nachtelijk,0,0
8412,knikken,0,0
8413,knikkend,0,0
8414,knooppunt,0,0
8415,knoestig,0,0
8416,knobbeltje,0,0
8417,lawaai,0,1
8418,luidruchtig,0,1
8419,nomade,0,0
8420,nomadisch,0,0
8421,nomenclatuur,0,0
8422,nominaal,0,0
8423,benoemen,0,0
8424,voordracht,1,0
8425,benoemde,0,0
8426,nonce,0,0
8427,NO TRANSLATION,0,1
8428,onbeduidend,0,0
8429,niet bestaand,0,0
8430,NO TRANSLATION,0,0
8431,NO TRANSLATION,0,0
8432,onzin,0,1
8433,onzinnig,0,1
8434,uilskuiken,0,0
8435,hoekje,0,0
8436,middag,0,0
8437,strop,0,1
8438,norm,0,0
8439,normaal,0,0
8440,normaliteit,0,0
8441,normaliteit,1,0
8442,neus-,0,0
8443,nostalgie,0,0
8444,neusgat,0,0
8445,opvallend,1,0
8446,notabelen,1,0
8447,in het bijzonder,0,0
8448,notaris,0,0
8449,schrijfwijze,0,0
8450,inkeping,0,0
8451,getand,0,0
8452,Notitie,0,0
8453,notitieboekje,0,0
8454,NO TRANSLATION,1,0
8455,opmerkelijk,0,0
8456,nietigheid,0,1
8457,kennisgeving,0,0
8458,merkbaar,0,0
8459,kennisgeving,0,0
8460,verwittigen,0,0
8461,begrip,1,0
8462,denkbeeldig,0,0
8463,bekendheid,1,1
8464,niettegenstaande,0,0
8465,NO TRANSLATION,0,0
8466,zelfstandig naamwoord,0,0
8467,voeden,0,0
8468,voeding,1,0
8469,NO TRANSLATION,0,0
8470,nieuwigheid,0,0
8471,novice,0,0
8472,tegenwoordig,0,0
8473,schadelijk,0,1
8474,mondstuk,0,0
8475,nuance,0,0
8476,nuances,0,0
8477,kern,0,0
8478,naakt,0,0
8479,duwtje,0,0
8480,naaktheid,0,0
8481,goudklomp,0,0
8482,overlast,0,1
8483,NO TRANSLATION,0,1
8484,nul,0,0
8485,vernietigen,0,1
8486,verdoven,0,1
8487,aantal,0,0
8488,nummering,0,0
8489,getallen,1,0
8490,doof gevoel,0,1
8491,cijfer,0,0
8492,teller,0,0
8493,numeriek,0,0
8494,numeriek,0,0
8495,talrijk,0,0
8496,NO TRANSLATION,0,1
8497,verpleegster,1,0
8498,kwekerij,1,0
8499,koesteren,1,0
8500,nootmuskaat,0,0
8501,voeding,0,0
8502,voedzaam,1,0
8503,voedzaam,0,0
8504,noten,0,0
8505,nimf,0,0
8506,pummel,0,1
8507,eik,1,0
8508,roeispaan,0,0
8509,oase,1,0
8510,eed,1,0
8511,havermout,0,0
8512,gehoorzaamheid,1,0
8513,gehoorzaam,0,0
8514,gehoorzaam,0,0
8515,obelisk,0,0
8516,zwaarlijvig,0,1
8517,zwaarlijvigheid,0,1
8518,gehoorzamen,0,0
8519,obi,0,1
8520,herdenkingsdienst,0,1
8521,doodsbrief,0,1
8522,voorwerp,0,0
8523,bezwaar,0,1
8524,verwerpelijk,0,1
8525,doelstelling,1,0
8526,verplichting,0,0
8527,verplicht,0,0
8528,verplichten,0,1
8529,verplicht,0,0
8530,bereidwillig,1,0
8531,schuldenaar,0,1
8532,schuin,0,0
8533,uitwissen,0,1
8534,uitgewist,0,1
8535,afstempeling,0,1
8536,vergetelheid,0,1
8537,vergeetachtig,0,0
8538,langwerpig,0,0
8539,onaangenaam,0,1
8540,hobo,0,0
8541,obsceen,0,1
8542,obsceniteit,0,1
8543,obscuur,0,0
8544,verduisterd,0,0
8545,duisternis,0,1
8546,inachtneming,0,0
8547,observant,1,0
8548,observatie,0,0
8549,observatorium,0,0
8550,waarnemen,0,0
8551,waarnemer,0,0
8552,observeren,0,0
8553,obsessie,0,0
8554,veroudering,0,0
8555,hindernis,0,1
8556,verloskundige,0,0
8557,verloskunde,0,0
8558,koppig,0,1
8559,belemmeren,0,1
8560,obstructie,0,1
8561,belemmerend,0,1
8562,verkrijgen,0,0
8563,verkrijgbaar,1,0
8564,stomp,0,1
8565,voorzijde,0,0
8566,voor de hand liggend,1,0
8567,okarina,0,0
8568,gelegenheid,0,0
8569,occasionele,0,0
8570,af en toe,0,0
8571,afsluiting,0,0
8572,occult,0,1
8573,bewoning,0,0
8574,bewoner,1,0
8575,bezetting,1,0
8576,bezet,0,0
8577,bewoner,0,0
8578,bezetten,1,0
8579,bezetten,0,0
8580,voorkomen,0,0
8581,voorval,0,0
8582,oceaan,0,0
8583,oceanisch,0,0
8584,achthoek,0,0
8585,octaaf,0,0
8586,Octopus,0,0
8587,oculair,0,0
8588,vreemdheid,0,1
8589,kansen,0,0
8590,ode,0,0
8591,verfoeilijk,0,1
8592,kilometerteller,0,0
8593,geur,0,1
8594,oestrogeen,0,0
8595,NO TRANSLATION,0,0
8596,afval,0,0
8597,beledigen,0,1
8598,beledigd,0,1
8599,overtreder,0,1
8600,overtreding,0,1
8601,aanvallend,0,1
8602,aanbod,1,0
8603,aangeboden,0,0
8604,offer,0,0
8605,onvoorbereid,0,1
8606,kantoor,0,0
8607,officier,1,0
8608,kantoren,0,0
8609,officieel,0,0
8610,fungeren,0,0
8611,volle zee,0,1
8612,afladen,0,0
8613,compenseren,1,0
8614,zijtak,1,0
8615,buitenspel,0,0
8616,vaak,0,0
8617,vaak,0,0
8618,boeman,0,1
8619,olie-,0,0
8620,olieverf,0,0
8621,zalf,0,0
8622,ouder,0,0
8623,reuk-,0,1
8624,oligarchie,0,1
8625,olijf-,0,0
8626,omega,0,0
8627,omelet,0,0
8628,voorteken,0,1
8629,onheilspellend,0,1
8630,verzuim,0,0
8631,weglaten,0,1
8632,weggelaten,0,0
8633,omnibus,0,0
8634,almacht,1,1
8635,almachtig,0,0
8636,alomtegenwoordig,0,0
8637,alwetend,1,0
8638,oncoloog,0,0
8639,eenheid,0,0
8640,bezwaarlijk,0,1
8641,zichzelf,0,0
8642,voortdurende,0,0
8643,ui,0,0
8644,begin,0,0
8645,woeste aanval,0,0
8646,ontologie,0,0
8647,bewijslast,0,1
8648,voorwaarts,0,0
